Name,IRAQ 5.8 01/15/28 CORP
BB ,EF230685 Corp
start,1/1/2006
end,7/3/2013
date,BLP_Z_SPRD_MID
11/23/2007,510.33
11/26/2007,525.382
11/27/2007,527.27
11/28/2007,525.839
11/29/2007,523.025
11/30/2007,511.49
12/3/2007,521.121
12/4/2007,515.946
12/5/2007,512.357
12/6/2007,506.128
12/7/2007,489.029
12/10/2007,473.55
12/11/2007,480.71
12/12/2007,464.363
12/13/2007,453.254
12/14/2007,445.662
12/17/2007,450.255
12/18/2007,462.396
12/19/2007,467.961
12/20/2007,466.286
12/21/2007,455.148
12/24/2007,449.733
12/25/2007,450.801
12/26/2007,448.749
12/27/2007,451.277
12/28/2007,464.985
12/31/2007,467.71
1/1/2008,466.771
1/2/2008,481.985
1/3/2008,482.015
1/4/2008,491.223
1/7/2008,493.595
1/8/2008,491.518
1/9/2008,495.022
1/10/2008,483.408
1/11/2008,484.31
1/14/2008,484.544
1/15/2008,490.836
1/16/2008,489.489
1/17/2008,495.222
1/18/2008,490.025
1/21/2008,498.333
1/22/2008,508.529
1/23/2008,519.937
1/24/2008,490.441
1/25/2008,494.269
1/28/2008,499.07
1/29/2008,493.352
1/30/2008,488.218
1/31/2008,492.154
2/1/2008,456.329
2/4/2008,438.565
2/5/2008,446.782
2/6/2008,441.034
2/7/2008,421.199
2/8/2008,417.108
2/11/2008,423.704
2/12/2008,418.934
2/13/2008,414.93
2/14/2008,384.314
2/15/2008,378.401
2/18/2008,381.075
2/19/2008,363.923
2/20/2008,363.864
2/21/2008,379.85
2/22/2008,379.309
2/25/2008,361.709
2/26/2008,365.985
2/27/2008,367.717
2/28/2008,381.932
2/29/2008,395.917
3/3/2008,392.321
3/4/2008,388.471
3/5/2008,369.129
3/6/2008,361.265
3/7/2008,365.968
3/10/2008,376.944
3/11/2008,379.12
3/12/2008,395.005
3/13/2008,390.24
3/14/2008,409.589
3/17/2008,441.832
3/18/2008,432.482
3/19/2008,439.301
3/20/2008,440.584
3/21/2008,439.372
3/24/2008,427.478
3/25/2008,419.374
3/26/2008,440.172
3/27/2008,441.487
3/28/2008,447.768
3/31/2008,462.508
4/1/2008,455.454
4/2/2008,436.378
4/3/2008,448.396
4/4/2008,459.772
4/7/2008,449.162
4/8/2008,448.154
4/9/2008,455.487
4/10/2008,449.645
4/11/2008,457.467
4/14/2008,452.814
4/15/2008,441.415
4/16/2008,431.843
4/17/2008,418.655
4/18/2008,420.36
4/21/2008,434.92
4/22/2008,447.117
4/23/2008,439.517
4/24/2008,435.316
4/25/2008,432.037
4/28/2008,437.757
4/29/2008,440.026
4/30/2008,438.486
5/1/2008,445.151
5/2/2008,435.651
5/5/2008,430.67
5/6/2008,429.391
5/7/2008,426.874
5/8/2008,434.835
5/9/2008,439.571
5/12/2008,440.612
5/13/2008,428.873
5/14/2008,423.727
5/15/2008,432.7
5/16/2008,412.363
5/19/2008,406.118
5/20/2008,407.839
5/21/2008,395.779
5/22/2008,377.714
5/23/2008,380.443
5/26/2008,379.098
5/27/2008,363.271
5/28/2008,354.32
5/29/2008,345.88
5/30/2008,354.206
6/2/2008,360.604
6/3/2008,363.386
6/4/2008,361.042
6/5/2008,348.329
6/6/2008,350.088
6/9/2008,347.123
6/10/2008,343.033
6/11/2008,347.433
6/12/2008,342.301
6/13/2008,341.46
6/16/2008,339.396
6/17/2008,344.8
6/18/2008,356.856
6/19/2008,352.731
6/20/2008,362.11
6/23/2008,359.475
6/24/2008,365.627
6/25/2008,361.505
6/26/2008,379.066
6/27/2008,385.924
6/30/2008,384.721
7/1/2008,395.053
7/2/2008,390.508
7/3/2008,390.581
7/4/2008,386.704
7/7/2008,386.317
7/8/2008,379.788
7/9/2008,378.265
7/10/2008,377.47
7/11/2008,370.268
7/14/2008,370.879
7/15/2008,371.589
7/16/2008,362.102
7/17/2008,350.503
7/18/2008,345.499
7/21/2008,343.343
7/22/2008,344.296
7/23/2008,345
7/24/2008,357.231
7/25/2008,348.581
7/28/2008,357.241
7/29/2008,349.228
7/30/2008,355.035
7/31/2008,357.599
