EGYPT CDS USD SR Index,,,,,,,,,
YCCD2887 Index,,,,,,,,,
Dates,,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
T,4/14/09,420.3,420.3,404.4,388.3,376.5,374.4,372.6,371.2
M,4/13/09,429.2,429.2,416,401,389.7,386.3,383.7,382.3
,,,,,,,,,
F,4/10/09,424.2,424.2,416,403.6,394.9,391.8,389.5,389.2
T,4/9/09,424.2,424.2,416,403.6,394.9,391.8,389.5,389.2
W,4/8/09,418.1,418.1,409.1,411.6,406.9,403.5,413.6,428.4
T,4/7/09,419.4,419.4,410,412.5,410.8,409.8,420.2,433.6
M,4/6/09,409.6,409.6,399.9,404.9,401.7,398.8,412.7,429.3
,,,,,,,,,
F,4/3/09,,421.8,409.5,414,410.3,409.1,422.2,437.4
T,4/2/09,,446,431.5,437.5,433.6,434.1,448.8,464
W,4/1/09,,473.8,456.9,460.6,456.7,457.3,473.2,489.9
T,3/31/09,,482.1,464.8,466.6,463.5,464,479.5,496.5
M,3/30/09,,493.5,476,477.9,474.7,475,484.7,503.7
,,,,,,,,,
F,3/27/09,,505.3,487.4,489.1,485.8,485.9,495.9,515.1
T,3/26/09,,500.8,483.1,481.8,479,480,492.3,511
W,3/25/09,,468.8,452.2,450.5,447.7,448.7,461.1,478.2
T,3/24/09,,464.5,455.1,454.9,455.6,458.1,466.1,482.4
M,3/23/09,,483.3,473.9,475,474.3,476.4,482.4,497.1
,,,,,,,,,
F,3/20/09,,498.1,487.9,488.6,487.5,489.3,493.2,501.2
T,3/19/09,,504.7,494.4,492.9,491,492.5,495.7,502.4
W,3/18/09,,513.9,504,504.7,503.3,505.1,509.5,515.2
T,3/17/09,,508,497.1,499.1,498,500,503.7,511
M,3/16/09,,635.3,621.8,624,622.4,624.9,628.4,635.6
,,,,,,,,,
F,3/13/09,,660.3,646.5,648.9,647.5,650,658.5,666.6
T,3/12/09,,660.3,646.5,648.9,647.5,650,658.5,666.6
W,3/11/09,,660.3,646.5,648.9,647.6,650,658.4,666.5
T,3/10/09,,660.3,646.6,649,647.6,650,658.4,666.5
M,3/9/09,,698.4,683.9,686.4,685,687.5,696.3,704.7
,,,,,,,,,
F,3/6/09,,660.2,646.6,649,647.6,650,658.4,666.5
T,3/5/09,,660.2,646.6,649,647.6,650,658.3,666.4
W,3/4/09,,660.2,646.6,649,647.6,650,658.4,666.4
T,3/3/09,,660.2,646.6,649,647.6,650,658.4,666.4
M,3/2/09,,660.2,646.7,649,647.6,650,658.3,666.3
,,,,,,,,,
F,2/27/09,,654.9,649.1,647.1,647,650.2,660.9,669.8
T,2/26/09,,664.8,656.3,654.5,650.2,650,655.5,662.3
W,2/25/09,,664.8,656.4,654.5,650.2,650,655.6,662.4
T,2/24/09,,664.8,656.4,654.5,650.2,650,655.6,662.4
M,2/23/09,,664.7,656.4,654.5,650.2,650,655.6,662.4
,,,,,,,,,
F,2/20/09,,664.7,656.4,654.5,650.2,650,655.5,662.4
T,2/19/09,,662.4,654.1,652.3,647.9,647.7,653.3,660.1
W,2/18/09,,688.4,679.7,677.8,672.1,671.7,677.3,684.4
T,2/17/09,,685.1,679.6,676.7,674.4,673.4,679.9,688.7
M,2/16/09,,667.7,661.3,659,656.2,655.2,659.2,663.8
,,,,,,,,,
F,2/13/09,,659,653.9,652.1,650.7,650,654,658.7
T,2/12/09,,638.7,633.8,632,630.7,630,633.9,638.5
W,2/11/09,,640.4,635.4,633.6,632.3,631.6,635.6,640.1
T,2/10/09,,646.6,641.6,639.8,638.5,637.8,641.7,646.3
M,2/9/09,,521.4,565.9,582,593.6,600,612,622.2
,,,,,,,,,
F,2/6/09,,565.3,613.2,630.6,643.1,650,662.8,673.7
T,2/5/09,,566.6,613.9,631.1,643.3,650,662.1,672.2
W,2/4/09,,566.6,613.9,631,643.3,650,662.2,672.3
T,2/3/09,,566.6,613.8,631,643.2,650,662.2,672.4
M,2/2/09,,583.4,630.5,647.8,660.1,667.3,679.6,689.8
,,,,,,,,,
F,1/30/09,,568.5,614.6,633.5,644,650,661.2,672.1
T,1/29/09,,568.4,614.6,633.5,644,650,661.2,672.3
W,1/28/09,,568.4,614.5,633.5,643.9,650,661.3,672.4
T,1/27/09,,586.5,633.9,653.4,664.1,670.4,681.9,693.2
M,1/26/09,,590.7,638.3,657.9,668.7,675,686.6,698
,,,,,,,,,
F,1/23/09,,568.7,614.5,633.4,643.9,650,661.3,672.5
T,1/22/09,,575.3,621.5,640.6,651.2,657.4,668.8,680.1
W,1/21/09,,590.8,638.2,657.8,668.7,675,686.7,698.2
T,1/20/09,,568.8,614.4,633.4,643.9,650,661.4,672.7
M,1/19/09,,566.7,612.1,631,641.5,647.6,659,670.3
,,,,,,,,,
F,1/16/09,,569.1,614.6,633.3,644,650,661.4,672.6
T,1/15/09,,569.1,614.6,633.3,644,650,661.3,672.6
W,1/14/09,,569.2,614.6,633.3,644,650,661.3,672.5
T,1/13/09,,569.3,614.6,633.3,644,650,661.3,672.5
M,1/12/09,,564.6,609.5,628,638.7,644.6,655.8,667
,,,,,,,,,
F,1/9/09,,547.4,590.8,608.8,619.2,625,636,646.9
T,1/8/09,,547.5,590.9,608.8,619.2,625,635.9,646.7
W,1/7/09,,536.4,578.8,596.5,606.7,612.3,623.1,633.8
T,1/6/09,,547.7,590.9,608.8,619.2,625,635.9,646.8
M,1/5/09,,547.7,590.9,608.9,619.2,625,635.9,646.8
,,,,,,,,,
F,1/2/09,,523.8,565.1,582.3,592.3,597.9,608.6,619.3
T,1/1/09,,526.3,567.3,585.2,594.4,600,610.5,621.4
